fight_url,round,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/4e224ebb6394611d,2,Gabriel Bonfim Randy Brown,,,,6 of 21 7 of 33,,,,,23 of 42 19 of 61,,,0
http://ufcstats.com/fight-details/f7e9bd2d6f81aeae,1,Matt Schnell Joseph Morales,,,,1 of 8 4 of 10,,,,,4 of 11 2 of 7,,,0
http://ufcstats.com/fight-details/b23fa678cc65cf5b,1,Muslim Salikhov Uros Medic,,,,0 of 1 5 of 9,,,,,2 of 5 5 of 9,,,0
http://ufcstats.com/fight-details/20971ed9a842b0cb,2,Chris Padilla Ismael Bonfim,,,,8 of 13 9 of 23,,,,,15 of 29 14 of 28,,,0
http://ufcstats.com/fight-details/ac4343150638b635,2,Christian Leroy Duncan Marco Tulio,,,,3 of 8 2 of 9,,,,,7 of 17 6 of 13,,,0
http://ufcstats.com/fight-details/e3d657dd88864ba7,3,Hyder Amil Jamall Emmers,,,,19 of 67 17 of 49,,,,,31 of 86 27 of 63,,,0
http://ufcstats.com/fight-details/c6d56aad93f98249,3,Ricky Simon Raoni Barcelos,,,,20 of 46 9 of 26,,,,,16 of 42 15 of 31,,,0
http://ufcstats.com/fight-details/80eae31bc0a94a65,3,Mayra Bueno Silva Jacqueline Cavalcanti,,,,1 of 11 6 of 21,,,,,8 of 23 20 of 38,,,0
http://ufcstats.com/fight-details/87dcb3eab20f6ac1,1,Josh Hokit Max Gimenis,,,,9 of 17 0 of 4,,,,,7 of 15 3 of 6,,,0
http://ufcstats.com/fight-details/9126633d921afb57,3,Tecia Pennington Denise Gomes,,,,7 of 21 11 of 37,,,,,22 of 50 24 of 58,,,0
http://ufcstats.com/fight-details/238c274c90587e21,2,Miles Johns Daniel Marcos,,,,4 of 16 5 of 13,,,,,8 of 17 3 of 12,,,0
http://ufcstats.com/fight-details/84b66bf7fba2d59d,2,Zach Reese Jackson McVey,,,,21 of 30 26 of 34,,,,,14 of 18 8 of 16,,,0
http://ufcstats.com/fight-details/747d922b329b7f30,1,Steve Garcia David Onama,,,,28 of 56 1 of 14,,,,,26 of 52 2 of 16,,,0
http://ufcstats.com/fight-details/9d9390b550d77e06,1,Waldo Cortes Acosta Ante Delija,,,,9 of 11 13 of 33,,,,,4 of 8 15 of 33,,,0
http://ufcstats.com/fight-details/b0f68344e01884ff,3,Jeremiah Wells Themba Gorimbo,,,,1 of 3 0 of 0,,,,,1 of 3 1 of 1,,,0
http://ufcstats.com/fight-details/767b78b67c7da17c,1,Isaac Dulgarian Yadier del Valle,,,,0 of 1 0 of 0,,,,,0 of 1 1 of 1,,,0
http://ufcstats.com/fight-details/71c8ca7442bcb757,3,Charles Radtke Daniel Frunza,,,,7 of 11 3 of 5,,,,,3 of 7 3 of 10,,,0
http://ufcstats.com/fight-details/f41c2c82d5117230,2,Allan Nascimento Cody Durden,,,,7 of 31 28 of 61,,,,,25 of 57 36 of 73,,,0
http://ufcstats.com/fight-details/f063bcccbbb9edc5,1,Billy Elekana Kevin Christian,,,,11 of 15 0 of 3,,,,,8 of 12 14 of 17,,,0
http://ufcstats.com/fight-details/58f6248da3cdf3ce,3,Timmy Cuamba ChangHo Lee,,,,0 of 1 0 of 0,,,,,0 of 1 1 of 1,,,0
http://ufcstats.com/fight-details/c245be6698c1e378,2,Donte Johnson Sedriques Dumas,,,,8 of 16 0 of 6,,,,,2 of 9 1 of 8,,,0
http://ufcstats.com/fight-details/760150e9951e65fa,3,Ketlen Vieira Norma Dumont,,,,1 of 13 5 of 10,,,,,7 of 23 17 of 23,,,0
http://ufcstats.com/fight-details/32927d50acedb507,3,Alice Ardelean Montserrat Conejo Ruiz,,,,25 of 81 19 of 89,,,,,35 of 91 26 of 101,,,0
http://ufcstats.com/fight-details/e6031b5937294176,3,Phil Rowe Seokhyeon Ko,,,,0 of 0 11 of 13,,,,,1 of 1 3 of 3,,,0
http://ufcstats.com/fight-details/7add5901fac6ab82,3,Talita Alencar Ariane Carnelossi,,,,9 of 18 1 of 17,,,,,5 of 12 1 of 14,,,0
http://ufcstats.com/fight-details/6390c8e74630473e,1,Tom Aspinall Ciryl Gane,,,,14 of 25 8 of 16,,,,,27 of 39 30 of 40,,,0
http://ufcstats.com/fight-details/7d3da3c4153717de,5,Virna Jandiroba Mackenzie Dern,,,,9 of 25 12 of 27,,,,,18 of 36 16 of 30,,,0
http://ufcstats.com/fight-details/e69f9b4b9cae12a4,3,Umar Nurmagomedov Mario Bautista,,,,5 of 6 0 of 0,,,,,0 of 0 1 of 1,,,0
http://ufcstats.com/fight-details/b42a3386a7dccb3d,3,Alexander Volkov Jailton Almeida,,,,15 of 15 0 of 0,,,,,0 of 0 0 of 0,,,0
http://ufcstats.com/fight-details/ef12d2aaaadaf6d0,1,Aleksandar Rakic Azamat Murzakanov,,,,0 of 3 1 of 6,,,,,8 of 13 2 of 7,,,0
http://ufcstats.com/fight-details/cb902d73389ed34b,1,Nasrat Haqparast Quillan Salkilld,,,,7 of 10 6 of 24,,,,,9 of 12 14 of 35,,,0
http://ufcstats.com/fight-details/0230a9dd2739add4,3,Ikram Aliskerov JunYong Park,,,,17 of 25 13 of 37,,,,,33 of 44 17 of 43,,,0
http://ufcstats.com/fight-details/e9c034cec33b3479,3,Ludovit Klein Mateusz Rebecki,,,,22 of 42 11 of 40,,,,,25 of 45 19 of 48,,,0
http://ufcstats.com/fight-details/f2c2a49fed32bd75,1,Valter Walker Louie Sutherland,,,,0 of 0 1 of 1,,,,,5 of 5 3 of 5,,,0
http://ufcstats.com/fight-details/bd7394f07247d9ca,3,Nathaniel Wood Jose Delgado,,,,15 of 43 48 of 88,,,,,19 of 50 43 of 80,,,0
http://ufcstats.com/fight-details/3fdb4c4b39218cf4,3,Hamdy Abdelwahab Chris Barnett,,,,35 of 51 3 of 11,,,,,10 of 16 5 of 12,,,0
http://ufcstats.com/fight-details/22dd728012944f0a,3,Azat Maksum Mitch Raposo,,,,1 of 22 2 of 14,,,,,3 of 25 4 of 18,,,0
http://ufcstats.com/fight-details/ef1519c8c1d20977,3,Jaqueline Amorim Mizuki,,,,8 of 17 15 of 32,,,,,7 of 26 5 of 20,,,0
http://ufcstats.com/fight-details/d61373d9fdf01a12,4,Reinier de Ridder Brendan Allen,,,,1 of 1 0 of 0,,,,,1 of 2 0 of 0,,,0
http://ufcstats.com/fight-details/cdd565a16975c711,3,Kevin Holland Mike Malott,,,,3 of 22 8 of 20,,,,,8 of 26 11 of 28,,,0
http://ufcstats.com/fight-details/857d274e47aa8c4e,3,Marlon Vera Aiemann Zahabi,,,,3 of 25 11 of 26,,,,,11 of 40 19 of 36,,,0
http://ufcstats.com/fight-details/c82acd7b17915591,1,Manon Fiorot Jasmine Jasudavicius,,,,16 of 26 2 of 14,,,,,8 of 16 2 of 14,,,0
http://ufcstats.com/fight-details/a18edcb638ba7e39,1,Charles Jourdain Davey Grant,,,,20 of 35 3 of 14,,,,,17 of 31 9 of 26,,,0
http://ufcstats.com/fight-details/3af1bdc5a510bba9,3,Kyle Nelson Matt Frevola,,,,17 of 47 7 of 37,,,,,12 of 37 13 of 51,,,0
http://ufcstats.com/fight-details/ecdbb3a5216b815e,3,Kyle Prepolec Drew Dober,,,,11 of 53 12 of 40,,,,,17 of 66 28 of 58,,,0
