fight_url,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/f063bcccbbb9edc5,Billy Elekana Kevin Christian,,,,73% 82%,,,,,--- ---,,,21
http://ufcstats.com/fight-details/58f6248da3cdf3ce,Timmy Cuamba ChangHo Lee,,,,0% 100%,,,,,--- 66%,,,0
http://ufcstats.com/fight-details/c245be6698c1e378,Donte Johnson Sedriques Dumas,,,,52% 30%,,,,,100% 33%,,,113
http://ufcstats.com/fight-details/760150e9951e65fa,Ketlen Vieira Norma Dumont,,,,30% 73%,,,,,50% ---,,,96
http://ufcstats.com/fight-details/32927d50acedb507,Alice Ardelean Montserrat Conejo Ruiz,,,,38% 26%,,,,,0% 0%,,,15
http://ufcstats.com/fight-details/e6031b5937294176,Phil Rowe Seokhyeon Ko,,,,100% 86%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/7add5901fac6ab82,Talita Alencar Ariane Carnelossi,,,,60% 5%,,,,,50% ---,,,111
http://ufcstats.com/fight-details/6390c8e74630473e,Tom Aspinall Ciryl Gane,,,,69% 75%,,,,,0% ---,,,0
http://ufcstats.com/fight-details/7d3da3c4153717de,Virna Jandiroba Mackenzie Dern,,,,60% 55%,,,,,66% ---,,,117
http://ufcstats.com/fight-details/e69f9b4b9cae12a4,Umar Nurmagomedov Mario Bautista,,,,83% 100%,,,,,100% ---,,,277
http://ufcstats.com/fight-details/b42a3386a7dccb3d,Alexander Volkov Jailton Almeida,,,,100% ---,,,,,--- 50%,,,134
http://ufcstats.com/fight-details/ef12d2aaaadaf6d0,Aleksandar Rakic Azamat Murzakanov,,,,64% 37%,,,,,0% ---,,,36
http://ufcstats.com/fight-details/cb902d73389ed34b,Nasrat Haqparast Quillan Salkilld,,,,76% 38%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/0230a9dd2739add4,Ikram Aliskerov JunYong Park,,,,76% 39%,,,,,100% ---,,,36
http://ufcstats.com/fight-details/e9c034cec33b3479,Ludovit Klein Mateusz Rebecki,,,,55% 42%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/f2c2a49fed32bd75,Valter Walker Louie Sutherland,,,,100% 60%,,,,,100% ---,,,31
http://ufcstats.com/fight-details/bd7394f07247d9ca,Nathaniel Wood Jose Delgado,,,,40% 61%,,,,,--- ---,,,3
http://ufcstats.com/fight-details/3fdb4c4b39218cf4,Hamdy Abdelwahab Chris Barnett,,,,70% 50%,,,,,66% ---,,,183
http://ufcstats.com/fight-details/22dd728012944f0a,Azat Maksum Mitch Raposo,,,,14% 22%,,,,,50% ---,,,138
http://ufcstats.com/fight-details/ef1519c8c1d20977,Jaqueline Amorim Mizuki,,,,38% 46%,,,,,100% ---,,,87
http://ufcstats.com/fight-details/d61373d9fdf01a12,Reinier de Ridder Brendan Allen,,,,75% 100%,,,,,33% ---,,,244
http://ufcstats.com/fight-details/cdd565a16975c711,Kevin Holland Mike Malott,,,,29% 41%,,,,,100% 0%,,,27
http://ufcstats.com/fight-details/857d274e47aa8c4e,Marlon Vera Aiemann Zahabi,,,,27% 54%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/c82acd7b17915591,Manon Fiorot Jasmine Jasudavicius,,,,59% 14%,,,,,--- ---,,,6
http://ufcstats.com/fight-details/a18edcb638ba7e39,Charles Jourdain Davey Grant,,,,58% 34%,,,,,--- ---,,,20
http://ufcstats.com/fight-details/3af1bdc5a510bba9,Kyle Nelson Matt Frevola,,,,41% 27%,,,,,--- 100%,,,28
http://ufcstats.com/fight-details/ecdbb3a5216b815e,Kyle Prepolec Drew Dober,,,,25% 48%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/970f083af8368f57,Cody Gibson Aoriqileng,,,,100% 62%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/668a44403a130043,Bruno Silva HyunSung Park,,,,60% 32%,,,,,100% 25%,,,40
http://ufcstats.com/fight-details/096e00355c8c84ac,Danny Barlow Djorden Santos,,,,65% 55%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/8d9458121f0c4b95,Stephanie Luciano Ravena Oliveira,,,,44% 25%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/87ac0e5face106b4,Azamat Bekoev Yousri Belgaroui,,,,33% 72%,,,,,60% ---,,,133
http://ufcstats.com/fight-details/dec301fd5e99ca46,Melissa Croden Tainara Lisboa,,,,47% 44%,,,,,--- 0%,,,13
http://ufcstats.com/fight-details/79865287be90e4be,Charles Oliveira Mateusz Gamrot,,,,37% 57%,,,,,--- 100%,,,167
http://ufcstats.com/fight-details/f295eb2a7b0ba4b7,Deiveson Figueiredo Montel Jackson,,,,61% 40%,,,,,33% ---,,,68
http://ufcstats.com/fight-details/6188b7fb3f8daacc,Vicente Luque Joel Alvarez,,,,32% 56%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/03377f7bf8a2d5ff,Jhonata Diniz Mario Pinto,,,,50% 85%,,,,,--- 100%,,,9
http://ufcstats.com/fight-details/2aef1a91d26dde42,Ricardo Ramos Kaan Ofli,,,,25% 100%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/cff0abc02974fb4a,Lucas Almeida Michael Aswell Jr.,,,,42% 55%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/766b0b26c40525de,Jafel Filho Clayton Carpenter,,,,38% 33%,,,,,100% ---,,,143
http://ufcstats.com/fight-details/a815dafc89adf33b,Vitor Petrino Thomas Petersen,,,,65% 20%,,,,,33% 0%,,,162
